,Label
23922,0
14446,0
22424,0
21897,0
11976,0
3572,1
2989,1
30435,0
15489,0
22114,0
710,1
10521,1
10668,1
21737,0
6148,1
27528,0
11348,0
3122,1
29449,0
25222,0
1269,1
13733,0
22144,0
18213,0
9460,1
43,1
6408,1
27685,0
20343,0
13974,0
6188,1
1810,1
8653,1
13283,0
24902,0
23177,0
4269,1
15417,0
10962,1
29736,0
3244,1
23512,0
1486,1
19580,0
25204,0
29267,0
121,1
10969,1
23953,0
15179,0
16169,0
6346,1
8156,1
10762,1
11425,0
1014,1
8409,1
3278,1
711,1
6753,1
14567,0
24890,0
2874,1
10655,1
20505,0
8785,1
20737,0
4348,1
5368,1
23969,0
14823,0
141,1
12327,0
18871,0
25366,0
26378,0
11930,0
28100,0
20501,0
6291,1
25586,0
6334,1
8739,1
23114,0
29470,0
9616,1
22009,0
22174,0
9012,1
7499,1
23920,0
9757,1
30153,0
2544,1
14775,0
4232,1
20894,0
975,1
25059,0
23352,0
11813,0
13483,0
29946,0
16508,0
12757,0
4887,1
1371,1
1807,1
14877,0
8749,1
18962,0
23333,0
7171,1
17314,0
15301,0
4650,1
25302,0
29587,0
18657,0
8417,1
19764,0
16353,0
16034,0
23599,0
26221,0
16652,0
470,1
19278,0
22110,0
30099,0
15006,0
19371,0
13551,0
12295,0
19451,0
14395,0
10844,1
4119,1
20276,0
13500,0
19803,0
11752,0
19704,0
22717,0
11966,0
10528,1
30405,0
3411,1
10530,1
18009,0
14383,0
17380,0
22727,0
2576,1
22260,0
790,1
29999,0
26246,0
18761,0
20158,0
10220,1
13553,0
650,1
11670,0
13925,0
14438,0
6992,1
16446,0
27214,0
21611,0
811,1
29017,0
14123,0
6957,1
22240,0
19691,0
23345,0
89,1
28298,0
27791,0
26694,0
11736,0
7734,1
9455,1
1766,1
1622,1
3961,1
30669,0
11438,0
27625,0
5379,1
16752,0
10273,1
28932,0
9289,1
28976,0
12314,0
17204,0
15920,0
21015,0
7418,1
22848,0
7965,1
8896,1
25187,0
17088,0
3799,1
23678,0
12929,0
6263,1
3380,1
18109,0
14479,0
16255,0
3106,1
28740,0
10441,1
27917,0
4880,1
23956,0
28019,0
27582,0
5014,1
15712,0
15262,0
158,1
21248,0
15196,0
1209,1
7851,1
16675,0
21029,0
10187,1
13903,0
6787,1
17390,0
660,1
30678,0
2854,1
15415,0
4525,1
4858,1
13374,0
20511,0
23747,0
9508,1
10509,1
27967,0
1638,1
10943,1
16280,0
5219,1
13600,0
2923,1
13024,0
4529,1
25451,0
18,1
28537,0
11400,0
25235,0
24994,0
22654,0
18132,0
17123,0
26000,0
5217,1
26861,0
6511,1
25784,0
16903,0
24461,0
19348,0
4993,1
22225,0
6893,1
26414,0
5562,1
17576,0
3524,1
1286,1
19856,0
25425,0
20382,0
2357,1
25238,0
12190,0
11228,1
2222,1
25109,0
18417,0
11550,0
8341,1
7768,1
30430,0
5243,1
12964,0
21880,0
8837,1
13670,0
25477,0
9926,1
13787,0
29127,0
3163,1
5794,1
19028,0
25016,0
4667,1
10059,1
12395,0
5808,1
9871,1
289,1
30065,0
20347,0
8132,1
21222,0
24482,0
9666,1
9445,1
21075,0
4647,1
26237,0
19607,0
1188,1
27016,0
13458,0
11025,1
18475,0
27060,0
15528,0
23080,0
13451,0
15631,0
29769,0
15110,0
14726,0
7561,1
30196,0
23146,0
18986,0
3693,1
9637,1
247,1
21009,0
22111,0
19830,0
9676,1
12940,0
3938,1
30259,0
16248,0
2882,1
30514,0
13993,0
21744,0
15191,0
16110,0
9968,1
22769,0
9040,1
273,1
20368,0
708,1
21329,0
29333,0
29869,0
3682,1
9652,1
4689,1
23965,0
27031,0
7021,1
28161,0
6322,1
1585,1
12387,0
21619,0
2827,1
24765,0
18078,0
12068,0
28899,0
26446,0
11148,1
14851,0
3302,1
14324,0
15120,0
5458,1
7576,1
8907,1
30615,0
22464,0
3457,1
29708,0
12260,0
29874,0
8744,1
8982,1
1221,1
7532,1
26102,0
25060,0
7327,1
28830,0
18782,0
8590,1
5051,1
20394,0
6666,1
3,1
29484,0
14898,0
21465,0
23337,0
25970,0
9381,1
19004,0
26281,0
29040,0
2449,1
6855,1
3238,1
11611,0
24272,0
14539,0
30216,0
11733,0
10653,1
3101,1
3177,1
22972,0
9883,1
15270,0
4381,1
12165,0
26096,0
2705,1
17428,0
6894,1
1027,1
11469,0
16817,0
19686,0
14254,0
6181,1
2895,1
12067,0
24292,0
20635,0
14208,0
20275,0
3610,1
3044,1
9765,1
3265,1
29013,0
26086,0
388,1
19037,0
26255,0
24358,0
20524,0
9745,1
7135,1
781,1
13947,0
16241,0
25014,0
6320,1
29558,0
25577,0
23139,0
26762,0
18818,0
2994,1
10904,1
24119,0
23775,0
6347,1
23095,0
172,1
7669,1
21666,0
27640,0
7384,1
25402,0
21635,0
3062,1
29740,0
14106,0
19659,0
7476,1
1377,1
19113,0
21145,0
28801,0
23772,0
12329,0
21629,0
3744,1
18364,0
7147,1
10990,1
25186,0
28057,0
25122,0
19610,0
28986,0
7756,1
24883,0
26151,0
8145,1
9668,1
6220,1
14667,0
14919,0
19682,0
27079,0
1091,1
4819,1
8873,1
3603,1
2810,1
623,1
28490,0
13980,0
3487,1
16295,0
3055,1
358,1
3606,1
24219,0
13421,0
17856,0
11885,0
5992,1
16823,0
22932,0
4200,1
21219,0
26708,0
17680,0
24484,0
23641,0
20354,0
24854,0
21727,0
10811,1
3467,1
27331,0
16403,0
24083,0
13671,0
18144,0
8773,1
6588,1
14612,0
28994,0
17806,0
4633,1
10423,1
17823,0
25982,0
3474,1
18837,0
26168,0
2546,1
16717,0
3024,1
27994,0
16730,0
919,1
3727,1
3555,1
25467,0
726,1
3358,1
4684,1
24604,0
30079,0
16579,0
13346,0
22332,0
15571,0
21284,0
1390,1
24846,0
21039,0
15911,0
5983,1
14624,0
1288,1
10936,1
26550,0
2793,1
13444,0
1770,1
13912,0
5181,1
17955,0
29155,0
11613,0
19137,1
25087,0
6056,1
14562,0
7309,1
5767,1
4863,1
3528,1
25256,0
897,1
19637,0
20810,0
3360,1
933,1
9199,1
27127,0
19033,0
5457,1
1815,1
6973,1
2223,1
19731,0
30555,0
3834,1
26806,0
28633,0
18869,0
20216,0
5078,1
19787,0
24928,0
27591,0
22081,0
2861,1
10852,1
23382,0
22925,0
20976,0
5006,1
22447,0
13591,0
25422,0
16655,0
24310,0
10391,1
11454,0
30604,0
1487,1
6572,1
9681,1
24775,0
24413,0
7017,1
4986,1
9032,1
13212,0
26418,0
13343,0
3045,1
23291,0
7404,1
30273,0
10797,1
4501,1
11496,0
22257,0
17612,0
18619,0
14470,0
21364,0
1938,1
11791,0
22215,0
4895,1
13906,0
9130,1
18257,0
28143,0
18741,0
3692,1
20801,0
22826,0
22036,0
7933,1
22245,0
18673,0
3413,1
9388,1
3910,1
24665,0
29778,0
36,1
21207,0
270,1
12248,0
21472,0
29237,0
23170,0
27156,0
76,1
18860,0
23919,0
4241,1
3450,1
29458,0
13305,0
8264,1
14272,0
11690,0
7899,1
544,1
15215,0
28974,0
23133,0
1036,1
27664,0
22365,0
12941,0
18113,0
27668,0
20320,0
24558,0
23347,0
13768,0
6456,1
19440,0
4024,1
2045,1
19712,0
22954,0
17538,0
13071,0
16496,0
3307,1
21237,0
4086,1
15185,0
24637,0
875,1
20349,0
14581,0
17125,0
20702,0
3780,1
6114,1
2313,1
21252,0
25458,0
7673,1
8189,1
600,1
23213,0
19817,0
5257,1
9245,1
20458,0
5531,1
16781,0
29908,0
28120,0
12919,0
25024,0
28231,0
23104,0
16746,0
10657,1
2301,1
17490,0
16945,0
28695,0
17845,0
17342,0
25074,0
24081,0
28521,0
14937,0
22756,0
6783,1
6773,1
18712,0
8325,1
29418,0
10042,1
5612,1
17902,0
30456,0
20564,0
14981,0
15025,0
27946,0
26364,0
16125,0
13830,0
20713,0
8809,1
16719,0
28885,0
15563,0
825,1
27602,0
25260,0
5159,1
23760,0
17987,0
5120,1
27645,0
7062,1
481,1
22420,0
11530,0
23147,0
16660,0
23792,0
3087,1
21983,0
7845,1
28495,0
25255,0
5844,1
5526,1
19938,0
20140,0
20961,0
1155,1
25790,0
7367,1
20225,0
25315,0
10286,1
26068,0
16304,0
14169,0
28641,0
11180,1
2229,1
5187,1
21109,0
10072,1
10699,1
5492,1
22373,0
2717,1
22102,0
19875,0
23508,0
21251,0
14817,0
23950,0
9495,1
884,1
1778,1
20333,0
7827,1
4442,1
2970,1
14177,0
3937,1
5665,1
29080,0
16927,0
29795,0
11474,0
18496,0
26476,0
18748,0
21097,0
20145,0
28628,0
30016,0
21315,0
30071,0
22171,0
9080,1
28194,0
7910,1
9594,1
7088,1
21228,0
18414,0
20438,0
25987,0
13065,0
4588,1
4456,1
19280,0
3816,1
2553,1
10115,1
20614,0
17866,0
11678,0
10035,1
10535,1
16703,0
29468,0
23879,0
26707,0
26064,0
16584,0
2070,1
2018,1
24742,0
29407,0
5835,1
29731,0
6926,1
19506,0
6551,1
23150,0
4538,1
21174,0
11145,1
3793,1
29400,0
4102,1
15824,0
12377,0
9789,1
10693,1
15086,0
4073,1
1401,1
7547,1
9905,1
22339,0
4433,1
30359,0
7110,1
1391,1
3835,1
20387,0
1212,1
30021,0
9820,1
16344,0
30577,0
26491,0
19322,0
13744,0
23668,0
30069,0
5256,1
21971,0
25556,0
28488,0
9775,1
24259,0
16709,0
6100,1
6365,1
7670,1
11978,0
4904,1
15146,0
16987,0
12923,0
10929,1
25154,0
26308,0
26979,0
20236,0
30145,0
16850,0
10830,1
12183,0
21346,0
8487,1
9454,1
21788,0
1106,1
6000,1
25998,0
3126,1
16293,0
19852,0
20404,0
10188,1
11095,1
1652,1
9981,1
16179,0
4701,1
6251,1
27945,0
30402,0
20339,0
15636,0
26225,0
23,1
2405,1
25010,0
17993,0
4028,1
21202,0
24440,0
1650,1
7251,1
5027,1
7754,1
7939,1
1158,1
1620,1
25430,0
26617,0
4455,1
20687,0
30101,0
15138,0
24552,0
17256,0
5274,1
28464,0
19214,0
13050,0
4151,1
26368,0
28452,0
26532,0
18581,0
17046,0
10730,1
14451,0
18584,0
3293,1
10219,1
27003,0
4461,1
8198,1
5776,1
12095,0
19798,0
1122,1
3186,1
16361,0
3576,1
19529,0
22104,0
17604,0
12746,0
5651,1
18431,0
12004,0
7556,1
1316,1
26950,0
29886,0
3611,1
28987,0
4790,1
28381,0
11240,1
14484,0
20711,0
12859,0
7299,1
11439,0
26220,0
1824,1
8295,1
19101,0
11583,0
2888,1
4900,1
13679,0
22796,0
12587,0
1676,1
23903,0
20673,0
13475,0
1619,1
19892,0
10569,1
14495,0
6210,1
5761,1
3264,1
8964,1
17407,0
3445,1
4682,1
26719,0
29289,0
27430,0
3499,1
26188,0
10576,1
25418,0
18725,0
15666,0
30225,0
376,1
19114,0
16626,0
8675,1
3764,1
16307,0
4294,1
24952,0
22250,0
17258,0
3618,1
19591,0
2806,1
17387,0
4332,1
13118,0
29775,0
25871,0
13975,0
13019,0
10041,1
27433,0
27654,0
24847,0
23252,0
18173,0
23436,0
24436,0
17850,0
18320,0
26161,0
11931,0
7667,1
17718,0
11282,1
20398,0
18157,0
27471,0
8200,1
26992,0
28014,0
13731,0
29409,0
20052,0
27995,0
4545,1
23644,0
29037,0
11961,0
12993,0
1822,1
14705,0
13088,0
9041,1
27413,0
6890,1
15108,0
84,1
14232,0
25019,0
14513,0
4981,1
1508,1
29813,0
30092,0
26874,0
11863,0
21905,0
547,1
30189,0
11705,0
10603,1
14787,0
29843,0
29186,0
9715,1
11939,0
27627,0
15434,0
3906,1
27171,0
24721,0
13902,0
6329,1
1344,1
30542,0
10496,1
29059,0
9162,1
12470,0
6356,1
27713,0
25368,0
4598,1
24318,0
29882,0
8955,1
10420,1
24297,0
22323,0
2232,1
17423,0
5968,1
27141,0
25229,0
12625,0
30030,0
14783,0
11167,1
13162,0
24988,0
5687,1
16532,0
27414,0
29410,0
4663,1
5859,1
7842,1
5663,1
28609,0
22750,0
21549,0
16167,0
9705,1
18095,0
17625,0
19625,0
8603,1
7743,1
4911,1
14337,0
16340,0
30010,0
13511,0
16431,0
18536,0
9674,1
5585,1
1923,1
10534,1
2990,1
12155,0
22217,0
5615,1
27781,0
29821,0
23816,0
18099,0
15703,0
11057,1
20780,0
16161,0
26018,0
3772,1
20666,0
24006,0
5309,1
3250,1
24692,0
24824,0
9880,1
14183,0
14748,0
14987,0
11502,0
29154,0
14207,0
17188,0
27992,0
3976,1
17484,0
6884,1
8462,1
5416,1
8941,1
22666,0
5986,1
25536,0
16619,0
11756,0
5283,1
20257,0
17705,0
10366,1
23702,0
2633,1
26894,0
28237,0
30540,0
10472,1
11669,0
62,1
23871,0
10890,1
23085,0
6553,1
10788,1
1565,1
6215,1
5953,1
15385,0
14090,0
25069,0
28993,0
29235,0
1502,1
22798,0
8831,1
14286,0
8194,1
10541,1
3870,1
14531,0
3143,1
29288,0
24833,0
20636,0
20923,0
8561,1
10672,1
8766,1
25589,0
6216,1
17997,0
15579,0
2393,1
21142,0
21032,0
3438,1
13010,0
15113,0
9939,1
14354,0
15930,0
19230,0
20254,0
6237,1
25244,0
14130,0
21876,0
12512,0
20069,0
21867,0
23543,0
28679,0
4175,1
1239,1
21618,0
2367,1
12092,0
27638,0
19229,0
2740,1
10536,1
13213,0
3347,1
9211,1
16187,0
26637,0
12784,0
26062,0
16204,0
12265,0
25196,0
20465,0
4014,1
2913,1
1444,1
25322,0
15181,0
11022,1
11770,0
3129,1
28890,0
4851,1
2741,1
16181,0
21942,0
9619,1
3844,1
30437,0
2609,1
16559,0
12349,0
7792,1
9038,1
29680,0
4651,1
15114,0
26447,0
16294,0
15202,0
1101,1
16906,0
20126,0
4079,1
735,1
11710,0
14758,0
18102,0
10915,1
21661,0
18197,0
23041,0
6503,1
24866,0
17196,0
11574,0
13703,0
1055,1
22762,0
2526,1
27434,0
28515,0
23178,0
6589,1
17608,0
8726,1
5291,1
20386,0
5195,1
2054,1
9146,1
13923,0
22760,0
22850,0
28429,0
19998,0
11793,0
29264,0
24382,0
14733,0
2695,1
10227,1
28826,0
21922,0
23203,0
26927,0
29977,0
7638,1
26598,0
6724,1
27104,0
11468,0
7466,1
17067,0
11449,0
2419,1
1291,1
25698,0
30073,0
15945,0
30466,0
14084,0
24385,0
770,1
14057,0
16794,0
22786,0
9728,1
8649,1
29613,0
7342,1
5755,1
20788,0
17510,0
13907,0
15148,0
142,1
6712,1
1996,1
17854,0
6605,1
17389,0
7789,1
28802,0
25947,0
26126,0
18435,0
24190,0
27803,0
28517,0
19697,0
592,1
258,1
6203,1
10515,1
23216,0
25818,0
16854,0
1806,1
106,1
30165,0
28833,0
16494,0
3004,1
20395,0
15927,0
556,1
19789,0
18385,0
26199,0
15987,0
20299,0
12742,0
17759,0
20499,0
29684,0
21975,0
21947,0
26489,0
20336,0
8613,1
16952,0
16928,0
42,1
2391,1
29783,0
1492,1
17224,0
6367,1
17785,0
10970,1
25500,0
7685,1
8441,1
22865,0
26973,0
2844,1
27285,0
18737,0
13507,0
11355,0
12109,0
30726,0
22626,0
14848,0
24123,0
18881,0
11652,0
23520,0
4271,1
4391,1
25864,0
20219,0
28807,0
21871,0
13527,0
709,1
20701,0
14184,0
3020,1
13108,0
2942,1
2517,1
11176,1
9973,1
24578,0
24448,0
6194,1
27727,0
15396,0
6639,1
892,1
27440,0
16246,0
11681,0
22124,0
1277,1
8772,1
2341,1
10757,1
7967,1
16393,0
29104,0
23037,0
4130,1
24107,0
26207,0
28020,0
5346,1
19542,0
9954,1
8734,1
11928,0
19885,0
6847,1
2383,1
2152,1
13848,0
2275,1
10142,1
14631,0
988,1
14322,0
680,1
1881,1
10387,1
27512,0
13861,0
6585,1
14636,0
9710,1
29306,0
24258,0
15820,0
21128,0
3447,1
16800,0
10075,1
22167,0
27712,0
6395,1
22434,0
19220,0
1991,1
12053,0
17077,0
7325,1
11868,0
14649,0
32,1
9231,1
15585,0
29153,0
9940,1
19558,0
14664,0
14210,0
18599,0
28431,0
8349,1
3975,1
20721,0
4565,1
8877,1
11623,0
14704,0
25684,0
5587,1
12669,0
7656,1
10627,1
7301,1
28416,0
15485,0
23313,0
23206,0
14175,0
10294,1
23593,0
17930,0
17966,0
23459,0
9360,1
3027,1
17062,0
6944,1
28477,0
14969,0
11105,1
10736,1
5340,1
18661,0
19206,0
4355,1
17156,0
10388,1
25629,0
6305,1
6550,1
1337,1
4603,1
3207,1
23434,0
30612,0
21928,0
18573,0
23704,0
30066,0
27313,0
12397,0
16468,0
25632,0
2413,1
15716,0
14893,0
11207,1
5653,1
24858,0
22148,0
4514,1
15081,0
15513,0
29926,0
14417,0
10529,1
21326,0
20308,0
15341,0
21506,0
25339,0
16018,0
9244,1
780,1
13607,0
6642,1
29263,0
812,1
16550,0
27811,0
15972,0
23171,0
12185,0
25758,0
9419,1
4835,1
8720,1
25561,0
27541,0
4304,1
15600,0
5565,1
14233,0
1116,1
4451,1
16664,0
12087,0
27683,0
8131,1
3482,1
26580,0
18070,0
8975,1
14245,0
26717,0
16174,0
9144,1
5927,1
18089,0
14970,0
26809,0
4239,1
17347,0
25066,0
7661,1
25914,0
994,1
6581,1
18156,0
25840,0
3029,1
14921,0
26837,0
4679,1
1833,1
18101,0
8000,1
19470,0
9132,1
9031,1
14992,0
15855,0
26196,0
13995,0
8208,1
18924,0
11392,0
30627,0
1016,1
5375,1
26851,0
12229,0
21993,0
2949,1
9090,1
6302,1
17599,0
29723,0
6487,1
14485,0
956,1
13509,0
7246,1
16435,0
21331,0
557,1
28031,0
14802,0
12347,0
25266,0
30089,0
28110,0
4432,1
10586,1
14991,0
28643,0
21979,0
22683,0
7136,1
16863,0
20153,0
648,1
12695,0
18401,0
25991,0
25765,0
12712,0
16489,0
12789,0
12944,0
18930,0
21716,0
7172,1
8444,1
18237,0
12787,0
11785,0
18339,0
17434,0
23466,0
6657,1
10146,1
2283,1
7078,1
27385,0
27457,0
6083,1
27665,0
21003,0
